id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1796421877734481974,"Proceeding towards New Cooch Behar, a train is greeted by a blossom hedge unfolding in all its glory near New Jalpaiguri Junction, Siliguri, West Bengal.

Credits: Babai Dey https://t.co/beQQ8Jy71i",https://x.com/RailMinIndia/status/1796421877734481974,tweet,Ministry of Railways,@RailMinIndia,30,2,268,634,43371,5,2024-05-31 11:32:06,https://pbs.twimg.com/media/GO4sI5dacAA9xPI.jpg,
1796180045314011579,"#ResponsibleRailYatri का कर्तव्य निभाएं। यात्रा के दौरान आवश्यकता नहीं होने पर लाइट और पंखे का स्विच ऑफ कर ऊर्जा संरक्षण में भारतीय रेल का साथ निभाएं।

#MissionLiFE #ChooseLiFE https://t.co/AaEXWv3SIo",https://x.com/RailMinIndia/status/1796180045314011579,tweet,Ministry of Railways,@RailMinIndia,73,6,273,502,46585,4,2024-05-30 19:31:08,https://pbs.twimg.com/media/GO1QJxkWoAARL6x.jpg,
1796100316082884966,"Why stand in long queues when you have access to a ticket counter on your phone? Book unreserved tickets with the #UTS App and save time.

Download

Play Store: https://t.co/tU157vxX46
iOS: https://t.co/ScVyEEwOuk https://t.co/frALgNWBqZ",https://x.com/RailMinIndia/status/1796100316082884966,tweet,Ministry of Railways,@RailMinIndia,42,2,270,336,39088,6,2024-05-30 14:14:19,https://pbs.twimg.com/media/GO0HnB3XgAAsDZS.jpg,
1796006113504375144,Indian Railways navigating the most pristine and majestic corners of the Nation. https://t.co/kP5nw578P6,https://x.com/RailMinIndia/status/1796006113504375144,tweet,Ministry of Railways,@RailMinIndia,40,3,315,627,53937,8,2024-05-30 08:00:00,https://pbs.twimg.com/media/GOv6VzdXsAAs5FK.jpg,https://video.twimg.com/amplify_video/1795803675291500544/vid/avc1/720x1280/cTfDuW8hdeCxDeuK.mp4?tag=14
1795801948056129744,"Make your train travel easy by carrying only the essential luggage.
#ResponsibleRailYatri https://t.co/3JD6FmCAMd",https://x.com/RailMinIndia/status/1795801948056129744,tweet,Ministry of Railways,@RailMinIndia,44,1,266,421,44142,1,2024-05-29 18:28:43,https://pbs.twimg.com/media/GOv4SMKW0AAm9G7.jpg,
1795724229104869791,A train carves out a picturesque scenery off-the-beaten path near Ranchi-Muri Rail section. https://t.co/6OReURCCRw,https://x.com/RailMinIndia/status/1795724229104869791,tweet,Ministry of Railways,@RailMinIndia,42,0,285,634,53217,7,2024-05-29 13:19:53,https://pbs.twimg.com/media/GOuxbaLXUAA3gqB.jpg,
1795471759472267411,Be a #ResponsibleRailYatri and kindly refrain from accepting food from unknown co-travellers. https://t.co/czYj0T8MFv,https://x.com/RailMinIndia/status/1795471759472267411,tweet,Ministry of Railways,@RailMinIndia,43,2,286,382,40388,2,2024-05-28 20:36:40,https://pbs.twimg.com/media/GOrMC2UaUAAsGic.jpg,
1795367321395249162,"रेल यात्रा के दौरान समस्या के निवारण के लिए रेल मदद हेल्पलाइन नंबर 139 डॉयल करें।

डाउनलोड करें

iOS: https://t.co/DPsosAkvHC

Playstore: https://t.co/AGIFHWeaLg https://t.co/PcpTDYnfAh",https://x.com/RailMinIndia/status/1795367321395249162,tweet,Ministry of Railways,@RailMinIndia,92,5,291,416,40128,8,2024-05-28 13:41:40,https://pbs.twimg.com/media/GOptD0vW8AAbmDj.jpg,
1795301689442115899,"Slithering across a mountainous terrain, here’s an aerial capture of a toy train traversing the Kalka-Shimla Railway. 🛤️ https://t.co/NGKBxfIEJb",https://x.com/RailMinIndia/status/1795301689442115899,tweet,Ministry of Railways,@RailMinIndia,21,1,312,548,39261,3,2024-05-28 09:20:52,https://pbs.twimg.com/media/GOoxXY9XEAAs9-u.jpg,
1795094330211782757,Test your Railway knowledge. 🤓 https://t.co/pgCWuptGKm,https://x.com/RailMinIndia/status/1795094330211782757,tweet,Ministry of Railways,@RailMinIndia,96,3,277,521,52366,9,2024-05-27 19:36:54,https://pbs.twimg.com/amplify_video_thumb/1795094220656582656/img/REtw4w7DZzlxTnrk.jpg,https://video.twimg.com/amplify_video/1795094220656582656/vid/avc1/1920x1080/Pxjs_lFRChXjB2eM.mp4?tag=16
1795019784683221269,"रेल यात्रा के दौरान ज्वलनशील पदार्थ ले जाना दण्डनीय अपराध हैI 

#ResponsibleRailYatri https://t.co/KfEo4zXpvS",https://x.com/RailMinIndia/status/1795019784683221269,tweet,Ministry of Railways,@RailMinIndia,59,3,293,482,41034,3,2024-05-27 14:40:41,https://pbs.twimg.com/media/GOkw-iJWwAES2md.jpg,
